name,cpu_percent,mem_usage,mem_limit,mem_percent
1735061003,discovery,1.24,28.46MiB,7.654GiB,0.36
1735061005,monolith,108.50,3.689GiB,4GiB,92.23
1735061005,recommendations,16.57,92.62MiB,7.654GiB,1.18
1735061005,teasers,9.06,101.8MiB,7.654GiB,1.30
1735061005,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061005,discovery,1.04,29.04MiB,7.654GiB,0.37
1735061007,monolith,108.26,3.69GiB,4GiB,92.24
1735061007,recommendations,13.59,92.54MiB,7.654GiB,1.18
1735061007,teasers,10.69,101.9MiB,7.654GiB,1.30
1735061007,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061007,discovery,1.01,28.63MiB,7.654GiB,0.37
1735061010,monolith,134.29,3.69GiB,4GiB,92.26
1735061010,recommendations,21.88,93.49MiB,7.654GiB,1.19
1735061010,teasers,11.81,102.6MiB,7.654GiB,1.31
1735061010,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061010,discovery,0.96,28.75MiB,7.654GiB,0.37
1735061012,monolith,106.66,3.691GiB,4GiB,92.27
1735061012,recommendations,8.55,92.79MiB,7.654GiB,1.18
1735061012,teasers,9.00,102.7MiB,7.654GiB,1.31
1735061012,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061012,discovery,0.67,28.84MiB,7.654GiB,0.37
1735061014,monolith,108.99,3.691GiB,4GiB,92.26
1735061014,recommendations,12.98,92.62MiB,7.654GiB,1.18
1735061014,teasers,11.33,102.8MiB,7.654GiB,1.31
1735061014,cdn,0.00,17.88MiB,7.654GiB,0.23
