timestamp,name,cpu_percent,mem_usage,mem_limit,mem_percent
1735068662,monolith,106.52,3.183GiB,4GiB,79.57
1735068662,teasers,5.02,94.24MiB,7.654GiB,1.20
1735068662,recommendations,4.63,96.33MiB,7.654GiB,1.23
1735068662,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068662,discovery,0.63,27.02MiB,7.654GiB,0.34
1735068667,monolith,104.53,3.191GiB,4GiB,79.78
1735068667,teasers,8.09,94.17MiB,7.654GiB,1.20
1735068667,recommendations,4.95,96.64MiB,7.654GiB,1.23
1735068667,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068667,discovery,0.54,27.57MiB,7.654GiB,0.35
1735068672,monolith,104.51,3.2GiB,4GiB,80.00
1735068672,teasers,7.75,94.55MiB,7.654GiB,1.21
1735068672,recommendations,5.71,96.69MiB,7.654GiB,1.23
1735068672,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068672,discovery,0.51,27.27MiB,7.654GiB,0.35
1735068677,monolith,106.81,3.216GiB,4GiB,80.40
1735068677,teasers,3.95,94.29MiB,7.654GiB,1.20
1735068677,recommendations,5.11,96.62MiB,7.654GiB,1.23
1735068677,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068677,discovery,2.53,27.25MiB,7.654GiB,0.35
1735068682,monolith,104.63,3.224GiB,4GiB,80.61
1735068682,teasers,9.76,94.28MiB,7.654GiB,1.20
1735068682,recommendations,6.38,97.04MiB,7.654GiB,1.24
1735068682,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068682,discovery,0.59,27.48MiB,7.654GiB,0.35
1735068687,monolith,105.17,3.232GiB,4GiB,80.80
1735068687,teasers,7.15,94.45MiB,7.654GiB,1.21
1735068687,recommendations,5.97,97.3MiB,7.654GiB,1.24
1735068687,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068687,discovery,0.51,27.91MiB,7.654GiB,0.36
1735068692,monolith,104.41,3.241GiB,4GiB,81.02
1735068692,teasers,3.66,94.5MiB,7.654GiB,1.21
1735068692,recommendations,8.26,95.95MiB,7.654GiB,1.22
1735068692,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068692,discovery,1.21,27.77MiB,7.654GiB,0.35
1735068697,monolith,107.70,3.257GiB,4GiB,81.42
1735068697,teasers,4.28,94.33MiB,7.654GiB,1.20
1735068697,recommendations,9.57,96.04MiB,7.654GiB,1.23
1735068697,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068697,discovery,0.56,27.49MiB,7.654GiB,0.35
1735068702,monolith,104.74,3.265GiB,4GiB,81.63
1735068702,teasers,5.76,94.82MiB,7.654GiB,1.21
1735068702,recommendations,4.95,96MiB,7.654GiB,1.22
1735068702,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068702,discovery,1.01,27.63MiB,7.654GiB,0.35
1735068707,monolith,104.83,3.273GiB,4GiB,81.84
1735068707,teasers,4.78,95.7MiB,7.654GiB,1.22
1735068707,recommendations,6.34,98.17MiB,7.654GiB,1.25
1735068707,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068707,discovery,0.65,27.61MiB,7.654GiB,0.35
1735068712,monolith,107.18,3.289GiB,4GiB,82.24
1735068712,teasers,4.43,95.8MiB,7.654GiB,1.22
1735068712,recommendations,6.03,97.13MiB,7.654GiB,1.24
1735068712,cdn,0.00,17.88MiB,7.654GiB,0.23
1735068712,discovery,0.61,27.48MiB,7.654GiB,0.35
1735068717,monolith,104.43,3.297GiB,4GiB,82.43
1735068717,teasers,4.44,95.68MiB,7.654GiB,1.22
1735068717,recommendations,4.84,96.68MiB,7.654GiB,1.23
1735068717,cdn,0.00,17.88MiB,7.654GiB,0.23
1735068717,discovery,0.55,27.81MiB,7.654GiB,0.35
1735068722,monolith,112.58,3.305GiB,4GiB,82.64
1735068722,teasers,4.94,95.69MiB,7.654GiB,1.22
1735068722,recommendations,6.40,96.7MiB,7.654GiB,1.23
1735068722,cdn,0.00,17.88MiB,7.654GiB,0.23
1735068722,discovery,0.80,27.54MiB,7.654GiB,0.35
1735068727,monolith,107.71,3.321GiB,4GiB,83.04
1735068727,teasers,6.97,95.68MiB,7.654GiB,1.22
1735068727,recommendations,6.03,96.59MiB,7.654GiB,1.23
1735068727,cdn,0.00,17.88MiB,7.654GiB,0.23
1735068727,discovery,0.62,27.66MiB,7.654GiB,0.35
1735068732,monolith,106.78,3.33GiB,4GiB,83.24
1735068732,teasers,4.89,95.59MiB,7.654GiB,1.22
1735068732,recommendations,4.79,96.78MiB,7.654GiB,1.23
1735068732,cdn,0.00,17.88MiB,7.654GiB,0.23
1735068732,discovery,0.57,27.62MiB,7.654GiB,0.35
1735068737,monolith,104.73,3.338GiB,4GiB,83.45
1735068737,teasers,3.63,97.07MiB,7.654GiB,1.24
1735068737,recommendations,4.52,96.98MiB,7.654GiB,1.24
1735068737,cdn,0.00,17.88MiB,7.654GiB,0.23
1735068737,discovery,0.59,27.49MiB,7.654GiB,0.35
1735068742,monolith,109.25,3.354GiB,4GiB,83.85
1735068742,teasers,8.71,95.6MiB,7.654GiB,1.22
1735068742,recommendations,8.95,96.97MiB,7.654GiB,1.24
1735068742,cdn,0.00,17.88MiB,7.654GiB,0.23
1735068742,discovery,0.82,27.79MiB,7.654GiB,0.35
1735068747,monolith,104.55,3.363GiB,4GiB,84.07
1735068747,teasers,9.20,95.78MiB,7.654GiB,1.22
1735068747,recommendations,5.98,97.03MiB,7.654GiB,1.24
1735068747,cdn,0.00,17.88MiB,7.654GiB,0.23
1735068747,discovery,0.58,27.54MiB,7.654GiB,0.35
1735068752,monolith,118.58,3.372GiB,4GiB,84.29
1735068752,teasers,6.92,95.87MiB,7.654GiB,1.22
1735068752,recommendations,5.02,97.28MiB,7.654GiB,1.24
1735068752,cdn,0.00,17.88MiB,7.654GiB,0.23
1735068752,discovery,0.67,28.22MiB,7.654GiB,0.36
1735068757,monolith,104.41,3.38GiB,4GiB,84.49
1735068757,teasers,4.27,95.82MiB,7.654GiB,1.22
1735068757,recommendations,5.45,98.25MiB,7.654GiB,1.25
1735068757,cdn,0.00,17.88MiB,7.654GiB,0.23
1735068757,discovery,0.60,27.93MiB,7.654GiB,0.36
1735068762,monolith,105.72,3.395GiB,4GiB,84.87
1735068762,teasers,5.00,96.47MiB,7.654GiB,1.23
1735068762,recommendations,4.95,97.01MiB,7.654GiB,1.24
1735068762,cdn,0.00,17.88MiB,7.654GiB,0.23
1735068762,discovery,0.53,28.04MiB,7.654GiB,0.36
1735068767,monolith,110.39,3.403GiB,4GiB,85.08
1735068767,teasers,5.88,95.97MiB,7.654GiB,1.22
1735068767,recommendations,8.05,97.38MiB,7.654GiB,1.24
1735068767,cdn,0.00,17.88MiB,7.654GiB,0.23
1735068767,discovery,0.56,27.77MiB,7.654GiB,0.35
1735068772,monolith,104.19,3.412GiB,4GiB,85.29
1735068772,teasers,5.89,95.84MiB,7.654GiB,1.22
1735068772,recommendations,5.07,97.18MiB,7.654GiB,1.24
