idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"324","http://localhost:8080/","2024-12-11","15:50:55","1339","8815","4595.60000000149","1095.6000000014901","346.9000000022352","39","3790.800000000745","1","89",""
"325","http://localhost:8080/","2024-12-11","15:51:04","1320","8854","4610.39999999851","1077.1000000014901","342.30000000074506","38","3807.89999999851","1","88",""
"326","http://localhost:8080/","2024-12-11","15:51:14","1323","8825","4598.5","1081.699999999255","339.8999999985099","38","3799.599999997765","1","88",""
"327","http://localhost:8080/","2024-12-11","15:51:23","1319","8856","4636.10000000149","1086.1000000014901","335.19999999925494","39","3808.800000000745","1","89",""
"328","http://localhost:8080/","2024-12-11","15:51:33","1347","8868","4610.400000002235","1110.4000000022352","334.9000000022352","38","3821.10000000149","1","88",""
"329","http://localhost:8080/","2024-12-11","15:51:42","1344","8854","4646.89999999851","1113.5","340.29999999701977","40","3831.599999997765","1","90",""
"330","http://localhost:8080/","2024-12-11","15:51:52","1317","8819","4580.900000002235","1080.9000000022352","332.5","39","3795.400000002235","1","89",""
"331","http://localhost:8080/","2024-12-11","15:52:01","1347","8884","4638.699999999255","1105.3999999985099","340.6000000014901","39","3834.89999999851","1","89",""
"332","http://localhost:8080/","2024-12-11","15:52:11","1351","8852","4606.800000000745","1123.5","339.6000000014901","38","3827.300000000745","1","88",""
"333","http://localhost:8080/","2024-12-11","15:52:20","1322","8858","4602.5","1085.7999999970198","340.0999999977648","39","3810.7999999970198","1","89",""
"334","http://localhost:8080/","2024-12-11","15:52:30","1333","8815","4588.60000000149","1088.6000000014901","341.5","38","3791.699999999255","1","88",""
"335","http://localhost:8080/","2024-12-11","15:52:40","1335","8855","4592.800000000745","1092.7000000029802","343.30000000074506","38","3808.2000000029802","1","88",""
"336","http://localhost:8080/","2024-12-11","15:52:49","1318","8847","4592.29999999702","1075.5","342.19999999925494","39","3799.7999999970198","1","89",""
"337","http://localhost:8080/","2024-12-11","15:52:59","1368","8864","4637","1120.300000000745","346.3999999985099","39","3838.89999999851","1","89",""
"338","http://localhost:8080/","2024-12-11","15:53:08","1346","8849","4616.099999997765","1099.3999999985099","339.5999999977648","40","3822.199999999255","1","90",""
"339","http://localhost:8080/","2024-12-11","15:53:18","1352","8877","4626.5","1109.7999999970198","339.5","37","3830","1","87",""
"340","http://localhost:8080/","2024-12-11","15:53:28","1318","8855","4620.5","1070.5","342.3999999985099","37","3808.199999999255","1","87",""
